name,start_date,end_date,is_active,,,,,
Thanksgiving Day (Norfolk Island),11/25/2026,11/25/2026,TRUE,,,,,
Devonport Show (TAS),11/27/2026,11/27/2026,TRUE,,,,,
New Year's Day,1/1/2027,1/1/2027,TRUE,,,,,
Australia Day,1/26/2027,1/26/2027,TRUE,,,,,
Good Friday,3/26/2027,3/26/2027,TRUE,,,,,
Easter Saturday,3/27/2027,3/27/2027,TRUE,,,,,
Easter Sunday,3/28/2027,3/28/2027,TRUE,,,,,
Easter Monday,3/29/2027,3/29/2027,TRUE,,,,,
Anzac Day,4/25/2027,4/25/2027,TRUE,,,,,
Anzac Day observed,4/26/2027,4/26/2027,TRUE,,,,,
Christmas Day,12/25/2027,12/25/2027,TRUE,,,,,
Boxing Day / Proclamation Day,12/26/2027,12/26/2027,TRUE,,,,,
Christmas Day observed,12/27/2027,12/27/2027,TRUE,,,,,
Boxing Day observed,12/28/2027,12/28/2027,TRUE,,,,,
Devonport Cup (TAS),1/6/2027,1/6/2027,TRUE,,,,,
Royal Hobart Regatta (TAS),2/8/2027,2/8/2027,TRUE,,,,,
Launceston Cup (TAS),2/24/2027,2/24/2027,TRUE,,,,,
Labour Day (WA),3/1/2027,3/1/2027,TRUE,,,,,
King Island Show (TAS),3/2/2027,3/2/2027,TRUE,,,,,
Canberra Day (ACT),3/8/2027,3/8/2027,TRUE,,,,,
Adelaide Cup Day (SA),3/8/2027,3/8/2027,TRUE,,,,,
Eight Hours Day (TAS),3/8/2027,3/8/2027,TRUE,,,,,
Labour Day (VIC),3/8/2027,3/8/2027,TRUE,,,,,
Easter Tuesday (TAS),3/30/2027,3/30/2027,TRUE,,,,,
May Day (NT),5/3/2027,5/3/2027,TRUE,,,,,
Labour Day (QLD),5/3/2027,5/3/2027,TRUE,,,,,
AGFEST (TAS),5/7/2027,5/7/2027,TRUE,,,,,
Reconciliation Day (ACT),5/31/2027,5/31/2027,TRUE,,,,,
Western Australia Day (WA),6/7/2027,6/7/2027,TRUE,,,,,
King's Birthday (ACT,6/1/2026,6/1/2026, SA, TAS, VIC),6/14/2027,6/14/2027,TRUE
Picnic Day (NT),8/2/2027,8/2/2027,TRUE,,,,,
Royal Queensland Show (Brisbane,6/1/2026,8/11/2027,8/11/2027,TRUE,,,,
King's Birthday (WA),9/27/2027,9/27/2027,TRUE,,,,,
Burnie Show (TAS),10/1/2027,10/1/2027,TRUE,,,,,
Labour Day (ACT,6/1/2026,6/1/2026,10/4/2027,10/4/2027,TRUE,,,
King's Birthday (QLD),10/4/2027,10/4/2027,TRUE,,,,,
Royal Launceston Show (TAS),10/7/2027,10/7/2027,TRUE,,,,,
Flinders Island Show (TAS),10/15/2027,10/15/2027,TRUE,,,,,
Royal Hobart Show (TAS),10/21/2027,10/21/2027,TRUE,,,,,
Recreation Day (TAS),11/1/2027,11/1/2027,TRUE,,,,,
Melbourne Cup Day (VIC),11/2/2027,11/2/2027,TRUE,,,,,
Devonport Show (TAS),11/26/2027,11/26/2027,TRUE,,,,,
